Course ID,Course Name,Average Rating,Average Sentiment Score,Average Score,Platform,Institution,Course URL,Number of Ratings,Number of Reviews
944156,"HTML, CSS and JavaScript Complete course",3.6666666666666665,3.9333333333333336,7.6,Udemy ,Not Available,Not Available,3,3
94428,Learn Complete Web Development From Scratch,4.5625,4.105,8.6675,Udemy ,Not Available,Not Available,16,16
94432,Learn PHP Fundamentals From Scratch,4.51010101010101,4.076969696969697,8.587070707070707,Udemy ,Not Available,Not Available,198,198
944334,Master Web Scraping with Python Do 16 Projects,4.25,4.048333333333334,8.298333333333334,Udemy ,Not Available,Not Available,36,36
944366,Learn Parallel Programming with C# and .NET,4.259493670886076,4.025063291139241,8.284556962025317,Udemy ,Not Available,Not Available,79,79
944370,MySQL for Beginners,5.0,4.68,9.68,Udemy ,Not Available,Not Available,1,1
944382,DRUPAL TUTORIAL: Drupal 8 Beginner to Advanced in 8 PROJECTS,4.0,4.09,8.09,Udemy ,Not Available,Not Available,4,4
944906,Drupal 7 for Beginners,4.833333333333333,4.18,9.013333333333334,Udemy ,Not Available,Not Available,3,3
945202,The Complete Android N Developer Course,4.075,3.847,7.922,Udemy ,Not Available,Not Available,20,20
945214,Introduction to Software Architecture,4.833333333333333,3.826666666666666,8.66,Udemy ,Not Available,Not Available,3,3
945320,Javascript Intermediate level 2 - All about functions,4.386363636363637,4.241818181818181,8.628181818181817,Udemy ,Not Available,Not Available,22,22
945336,Javascript Intermediate level 1 - Mastering the DOM,4.280487804878049,3.996585365853659,8.277073170731708,Udemy ,Not Available,Not Available,41,41
945602,PHP User Login Registration Script With All Features,4.5,3.9144,8.4144,Udemy ,Not Available,Not Available,25,25
945610,SQL Server SSAS (Multidimensional MDX) - an Introduction,4.487804878048781,3.825365853658537,8.313170731707316,Udemy ,Not Available,Not Available,41,41
945712,Web Design for Beginners: Real World Coding in HTML & CSS,4.3,3.4560000000000004,7.756,Udemy ,Not Available,Not Available,5,5
945900,Learn Socket Programming in C from Scratch,4.5,4.0,8.5,Udemy ,Not Available,Not Available,1,1
9463,Programming Java for Beginners - The Ultimate Java Tutorial,4.319672131147541,4.024262295081967,8.343934426229508,Udemy ,Not Available,Not Available,122,122
946310,Master Microservices with Spring Boot and Spring Cloud,4.5,3.128,7.628,Udemy ,Not Available,Not Available,5,5
946480,Microsoft SQL from A to Z,3.9,4.228,8.128,Udemy ,Not Available,Not Available,5,5
946662,Master the Python interview (special banks & startups),4.535714285714286,3.94,8.475714285714286,Udemy ,Not Available,Not Available,14,14
947098,Understanding TypeScript,4.429378531073446,3.929435028248588,8.358813559322034,Udemy ,Not Available,Not Available,354,354
947116,"Node.js, Express & MongoDB Dev to Deployment",4.5,3.3266666666666667,7.826666666666667,Udemy ,Not Available,Not Available,3,3
947120,"HTML5, CSS3 And JavaScript Fundamentals 2016",4.411764705882353,3.882352941176471,8.294117647058824,Udemy ,Not Available,Not Available,34,34
947204,Machine Learning with C++,3.625,3.67,7.295,Udemy ,Not Available,Not Available,4,4
947366,User Stories for Agile Scrum+Product Owner+Business Analysis,4.444444444444445,3.8377777777777777,8.282222222222222,Udemy ,Not Available,Not Available,9,9
947498,"Complete Guide To Making Apps: 250,000+ Downloads",3.4166666666666665,4.373333333333334,7.789999999999999,Udemy ,Not Available,Not Available,6,6
947570,Appium - Mobile Testing with Latest 1.8.2 and Live Projects,4.125,4.015,8.14,Udemy ,Not Available,Not Available,4,4
94774,Unified Modeling Language (UML): The Complete Guide,4.0,3.5900000000000003,7.59,Udemy ,Not Available,Not Available,2,2
94812,Learn Stripe PHP: Make Checkout Webpages,4.333333333333333,3.86,8.193333333333333,Udemy ,Not Available,Not Available,18,18
948186,Team workflows in JIRA,4.316666666666666,3.920666666666667,8.237333333333334,Udemy ,Not Available,Not Available,30,30
